"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 19 18:17:05 CST 2023","Tue Dec 19 18:17:07 CST 2023","2239","Opencart App Test Regression Suite","Product Info Page Test_chrome_117.0","com.qa.opencart.test.ProductInfoPageTest","com.qa.opencart.test.ProductInfoPageTest","productImagesCountTest","productImagesCountTest",""
"passed","Tue Dec 19 18:17:03 CST 2023","Tue Dec 19 18:17:05 CST 2023","1901","Opencart App Test Regression Suite","Product Info Page Test_chrome_117.0","com.qa.opencart.test.ProductInfoPageTest","com.qa.opencart.test.ProductInfoPageTest","productDescPresentTest","productDescPresentTest",""
"passed","Tue Dec 19 18:16:43 CST 2023","Tue Dec 19 18:16:45 CST 2023","2231","Opencart App Test Regression Suite","Accounts Page Test_firefox_118.0","com.qa.opencart.test.AccountsPageTest","com.qa.opencart.test.AccountsPageTest","selectProductTest","selectProductTest",""
"passed","Tue Dec 19 18:16:32 CST 2023","Tue Dec 19 18:16:32 CST 2023","9","Opencart App Test Regression Suite","Accounts Page Test_firefox_118.0","com.qa.opencart.test.AccountsPageTest","com.qa.opencart.test.AccountsPageTest","accountsPageURLTest","accountsPageURLTest",""
"passed","Tue Dec 19 18:16:32 CST 2023","Tue Dec 19 18:16:32 CST 2023","16","Opencart App Test Regression Suite","Accounts Page Test_firefox_118.0","com.qa.opencart.test.AccountsPageTest","com.qa.opencart.test.AccountsPageTest","accountsPageTitleTest","accountsPageTitleTest",""
"passed","Tue Dec 19 18:17:16 CST 2023","Tue Dec 19 18:17:18 CST 2023","2074","Opencart App Test Regression Suite","Product Info Page Test_chrome_117.0","com.qa.opencart.test.ProductInfoPageTest","com.qa.opencart.test.ProductInfoPageTest","productImagesCountTest","productImagesCountTest",""
"passed","Tue Dec 19 18:16:53 CST 2023","Tue Dec 19 18:16:56 CST 2023","3125","Opencart App Test Regression Suite","Product Info Page Test_chrome_117.0","com.qa.opencart.test.ProductInfoPageTest","com.qa.opencart.test.ProductInfoPageTest","addToCartTest","addToCartTest",""
"passed","Tue Dec 19 18:16:30 CST 2023","Tue Dec 19 18:16:30 CST 2023","12","Opencart App Test Regression Suite","Login Page Test_firefox_117.0","com.qa.opencart.test.LoginPageTest","com.qa.opencart.test.LoginPageTest","loginPageURLTest","loginPageURLTest","To get the url of the page.."
"passed","Tue Dec 19 18:16:49 CST 2023","Tue Dec 19 18:16:53 CST 2023","3429","Opencart App Test Regression Suite","Product Info Page Test_chrome_117.0","com.qa.opencart.test.ProductInfoPageTest","com.qa.opencart.test.ProductInfoPageTest","addToCartTest","addToCartTest",""
"passed","Tue Dec 19 18:16:27 CST 2023","Tue Dec 19 18:16:27 CST 2023","106","Opencart App Test Regression Suite","Login Page Test_chrome_119.0","com.qa.opencart.test.LoginPageTest","com.qa.opencart.test.LoginPageTest","loginPageTitleTest","loginPageTitleTest","To get the title of the page.."
